,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373,4
1,0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,1eUGmzzvahJjOSWgDHuRlv,102813,4
2,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007,51pshtuYkgUQnt5huMPbKL,195873,4
3,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734,4
4,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,2ENexcMEMsYk0rVJigVD3i,235493,4
5,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,2tJulUYLDKOg9XrtVkMgcJ,222091,4
6,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,161DnLWsx1i3u1JT05lzqU,217867,4
7,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,15JINEqzVMv3SvJTAXAKED,263373,4
8,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,7ySUcLPVX7KudhnmNcgY2D,243600,4
9,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,03tqyYWC9Um2ZqU0ZN849H,263773,4
10,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,0V5cvmTKsYmF5FmGGEAfmS,160853,4
11,0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082,1UGD3lW3tDmgZfAVDh6w7r,351947,4
12,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,0I1eFRytp4XRhLCjT6tZm7,198213,3
13,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,3DK6m7It6Pw857FcQftMds,547733,4
14,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,10eBRyImhfqVvkiVEGf0N0,352187,4
15,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773,4
16,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,3hlksXnvbKogFdPbpO9vel,200013,4
17,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693,4
18,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,3avYqdwHKEq8beXbeWCKqJ,230733,4
19,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,22L7bfCiAkJo5xGSQgmiIO,299613,4
20,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,2gZUPNdnz5Y45eiGxpHGSc,292093,4
21,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773,3
22,0.776,0.603,5,-5.696,1,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,5VA4Ispp52EA1sOqzMz3Av,295920,4
23,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,0UV5zxRMz6AO4ZwUOZNIKI,234800,4
24,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,2qYsSHsYkihWx043HVJQRV,229400,4
25,0.675,0.734,7,-8.659,1,0.0265,0.38,0.895,0.141,0.533,101.998,2ncLdwTd8qzkxiJjlbiOgC,294213,4
26,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,4356Typ82hUiFAynbLYbPn,220800,4
